category,sku,priced,pricec,img,title,stock
Tablets,Ta1,500,0,Ta1.jpg,TechSlate 10.1-Inch Android Tablet with Octa-Core Processor and Full HD Display,26
Tablets,Ta2,180,55,Ta2.jpg,ProTab 12-Inch Windows Tablet with Intel Core i7 Processor and Keyboard Cover,33
Tablets,Ta3,220,75,Ta3.jpg,UltraView 9.7-Inch iPadOS Tablet with Apple Pencil and Smart Keyboard Support,42
Tablets,Ta4,480,25,Ta4.jpg,SlimTab 8-Inch Android Tablet with Quad-Core Processor and Dual Camera,11
Tablets,Ta7,500,92,Ta7.jpg,PixelPad 12-Inch Chrome OS Tablet with Detachable Keyboard and Stylus,23
Tablets,Ta8,150,51,Ta8.jpg,TabView 8.9-Inch Windows Tablet with 2K Display and Microsoft Office Integration,14
Tablets,Ta9,320,92,Ta9.jpg,PowerTab 10-Inch Android Tablet with Large Battery Capacity and Rapid Charging,16
Tablets,Ta10,432,15,Ta10.jpg,ElitePad 12.3-Inch Windows Tablet with Intel Core i5 Processor and 4G LTE Connectivity,33
Tablets,Ta11,199,92,Ta11.jpg,PlusTab 7-Inch Android Tablet with Kid-Friendly Interface and Parental Control,25
Tablets,Ta12,650,56,Ta12.jpg,FusionPad 10.4-Inch Android Tablet with Multitasking Feature and Dual Speaker System.,76
